GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
course-recommender-app,com.example.courserecommender.security,ValidationReportFilter,32,0,4,0,10,0,4,0,2,0
course-recommender-app,com.example.courserecommender.security,SecurityConfig,76,0,0,0,13,0,5,0,5,0
course-recommender-app,com.example.courserecommender.config,AppConfig,7,0,0,0,2,0,2,0,2,0
course-recommender-app,com.example.courserecommender.exception,GlobalExceptionHandler,57,0,0,0,19,0,7,0,7,0
course-recommender-app,com.example.courserecommender.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
course-recommender-app,com.example.courserecommender,CourseRecommenderApplication,32,0,0,0,10,0,4,0,4,0
course-recommender-app,com.example.courserecommender.controller,AuthorController,74,0,0,0,19,0,6,0,6,0
course-recommender-app,com.example.courserecommender.controller,CourseController,82,0,0,0,21,0,7,0,7,0
course-recommender-app,com.example.courserecommender.course,CourseServiceImpl,0,100,0,4,0,21,0,10,0,8
course-recommender-app,com.example.courserecommender.recommender,OverrideMainRecommender,0,19,0,2,0,4,0,4,0,3
course-recommender-app,com.example.courserecommender.recommender,PrimaryRecommender,0,13,0,0,0,2,0,2,0,2
course-recommender-app,com.example.courserecommender.recommender,SecondaryRecommender,0,13,0,0,0,2,0,2,0,2
course-recommender-app,com.example.courserecommender.user,AppUser,31,0,0,0,13,0,9,0,9,0
course-recommender-app,com.example.courserecommender.user,JpaUserDetailsService,34,0,0,0,7,0,3,0,3,0
course-recommender-app,com.example.courserecommender.author,AuthorServiceImpl,0,81,0,4,0,15,0,10,0,8
